timestamp	asset_composition	asset_amounts	total_portfolio_value	pnl	return	apr	net_gain_vs_hold	capital_used_in_trading	total_capital_locked	lp_fees_earned	trading_fees_paid	gas_fees_paid	max_drawdown	max_gain	impermanent_loss	asset_exposure	rebalancing_actions	notes
1746057600	cbBTC,USDC	0.05054348,5123.50	10000.00	0.00	0.000000	0.00	0.000000	10000.00	10000.00	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00	0	Start
1746144000	cbBTC,USDC	0.05054348,5123.50	10024.74	24.74	0.247407	8.44	4.112957	10020.12	10020.12	4.622443	0.000000	0.000000	0.000000	0.247407	-0.000212	0.00	0	
1746230400	cbBTC,USDC	0.05054348,5123.50	9976.09	-23.91	-0.239136	7.09	6.580986	9970.26	9970.26	5.827798	0.000000	0.000000	0.485343	0.247407	-0.000468	0.00	0	
1746316800	cbBTC,USDC	0.05054348,5123.50	9896.98	-103.02	-1.030153	7.06	10.547025	9889.24	9889.24	7.742145	0.000000	0.000000	1.274407	0.247407	-0.006597	0.00	0	
1746403200	cbBTC,USDC	0.05054348,5123.50	9925.36	-74.64	-0.746419	8.69	14.092506	9913.46	9913.46	11.900851	0.000000	0.000000	1.274407	0.247407	-0.004008	0.00	0	
1746489600	cbBTC,USDC	0.05054348,5123.50	10034.03	34.03	0.340331	10.13	16.214486	10017.38	10017.38	16.654588	0.000000	0.000000	1.365836	0.340331	-0.000158	0.00	0	
1746576000	cbBTC,USDC	0.05054348,5123.50	10050.48	50.48	0.504797	11.21	20.772375	10028.97	10028.97	21.506118	0.000000	0.000000	1.527241	0.504797	-0.000439	0.00	0	
1746662400	cbBTC,USDC	0.05054348,5123.50	10375.10	375.10	3.751030	15.57	25.482739	10340.98	10340.98	34.118021	0.000000	0.000000	4.608323	3.751030	-0.057074	0.00	0	
1746748800	cbBTC,USDC	0.05054348,5123.50	10369.49	369.49	3.694866	17.44	34.737673	10326.48	10326.48	43.005648	0.000000	0.000000	4.608323	3.751030	-0.052471	0.00	0	
1746835200	cbBTC,USDC	0.05054348,5123.50	10465.73	465.73	4.657279	17.22	36.585434	10418.54	10418.54	47.184838	0.000000	0.000000	5.434339	4.657279	-0.084695	0.00	0	
1746921600	cbBTC,USDC	0.05054348,5123.50	10438.97	438.97	4.389714	17.62	43.338060	10385.86	10385.86	53.109820	0.000000	0.000000	5.434339	4.657279	-0.072445	0.00	0	
1747008000	cbBTC,USDC	0.05054348,5123.50	10391.82	391.82	3.918160	21.37	62.122318	10321.55	10321.55	70.265434	0.000000	0.000000	5.434339	4.657279	-0.050948	0.00	0	
1747094400	cbBTC,USDC	0.05054348,5123.50	10469.55	469.55	4.695465	22.35	69.735118	10389.94	10389.94	79.610073	0.000000	0.000000	5.468831	4.695465	-0.073925	0.00	0	
1747180800	cbBTC,USDC	0.05054348,5123.50	10443.79	443.79	4.437889	21.97	75.176838	10359.51	10359.51	84.281200	0.000000	0.000000	5.468831	4.695465	-0.063213	0.00	0	
1747267200	cbBTC,USDC	0.05054348,5123.50	10459.90	459.90	4.599012	22.34	82.501068	10368.08	10368.08	91.822488	0.000000	0.000000	5.468831	4.695465	-0.066152	0.00	0	
1747353600	cbBTC,USDC	0.05054348,5123.50	10450.95	450.95	4.509466	21.87	86.865531	10355.09	10355.09	95.857981	0.000000	0.000000	5.468831	4.695465	-0.061722	0.00	0	
1747440000	cbBTC,USDC	0.05054348,5123.50	10438.39	438.39	4.383916	21.17	90.012358	10339.77	10339.77	98.616991	0.000000	0.000000	5.468831	4.695465	-0.056683	0.00	0	
1747526400	cbBTC,USDC	0.05054348,5123.50	10612.99	612.99	6.129882	21.59	93.630809	10506.53	10506.53	106.458436	0.000000	0.000000	6.746484	6.129882	-0.121952	0.00	0	
1747612800	cbBTC,USDC	0.05054348,5123.50	10579.02	579.02	5.790205	22.19	103.797648	10463.49	10463.49	115.535193	0.000000	0.000000	6.746484	6.129882	-0.102958	0.00	0	
1747699200	cbBTC,USDC	0.05054348,5123.50	10645.71	645.71	6.457067	22.62	110.713709	10521.78	10521.78	123.927521	0.000000	0.000000	7.033089	6.457067	-0.129026	0.00	0	
1747785600	cbBTC,USDC	0.04622396,5186.99	10380.60	380.60	3.806028	21.70	246.159392	10256.68	10256.68	123.927521	0.000000	5.000000	7.033089	6.457067	-0.008800	0.00	1	Rebalanced
